588;48;{10101101110100111010}
324;32;{10001101000000001010}
472;45;{10101101000101001011}
423;35;{10100101010100101001}
367;39;{00100100000101101110}
387;44;{11000010000001101111}
289;27;{01000000000001110111}
485;50;{11010111010001001010}
372;43;{00111011010100011000}
387;25;{11101000010101000100}
419;37;{10100000001111110011}
368;37;{10000001001011001110}
488;54;{00001101011011011011}
372;37;{11001100010000001010}
540;60;{11011111010000011011}
426;44;{11001010010001010111}
448;38;{10110001000101101011}
544;45;{11010101010001111010}
268;37;{00000000001010111011}
443;41;{00101100110100101010}
435;45;{01001001010001011111}
559;53;{11111111000100111000}
538;41;{10111101000101101100}
507;48;{11001001001010101111}
294;21;{10100000010101000101}
472;39;{10101100110100010110}
505;65;{00111111001110001011}
343;20;{11001000000001110100}
363;32;{10010101000000101010}
365;30;{11010101010000001000}
645;56;{10111101010101111011}
421;36;{10011101000000101010}
541;58;{01010111010001111110}
456;40;{10011101000000101110}
439;42;{11000001010001011111}
481;57;{00011111010001001111}
403;46;{10001110001011000011}
264;24;{10000000001010100011}
411;45;{11100000010100011111}
418;36;{00100101010101111000}
452;40;{11001001001010101010}
417;34;{10100100000101110110}
320;47;{01001110000000001110}
377;34;{11001000011010010010}
322;35;{00101100010100001100}
290;29;{10001000000001001110}
396;45;{01010101010000011011}
573;60;{10011011011010111110}
413;49;{11010111000000011010}
436;51;{10010111000001001111}
377;45;{00001101001010001110}
421;37;{10001011010001111000}
366;29;{10101100000101000101}
205;11;{10001000000001000100}
755;77;{01111111101111101111}
685;54;{11111101100101111010}
484;53;{01111111000101001001}
483;46;{01011001000001111111}
230;33;{00000011010000011100}
542;47;{10010101011011101010}
195;25;{00101000000100001001}
480;44;{00101100110101010111}
339;28;{01101100000101000100}
376;35;{10101101000100001001}
681;68;{11110111101110111010}
411;28;{11001001000001101100}
581;49;{11101110100101100110}
324;19;{10001100000001100100}
419;31;{10001101000001101100}
502;35;{10101100100101100110}
601;45;{11101101010101101100}
213;16;{11000000010000010001}
362;31;{10001101010000001100}
502;35;{10101100100101100110}
382;30;{11001000010001010110}
413;35;{10000001010001101111}
482;44;{11001000011011010111}
495;50;{01001000011011111110}
410;49;{00001001011010011111}
468;40;{10100000011111110011}
532;58;{01011011001011111010}
688;63;{11110101001111111110}
347;35;{10100100000101001101}
513;47;{00101100110101101011}
579;58;{10101110001111110110}
272;31;{00000000011011010011}
260;18;{10001100000001010000}
304;28;{11100010000101000100}
353;24;{11000001000001101100}
336;35;{00110001000100101011}
588;48;{10111101100100101110}
432;43;{11000101010000011110}
376;34;{11010001000001011010}
553;44;{10111101100100101010}
341;41;{00110011000100111001}
481;56;{10101110000100101111}
637;51;{10111101110100101110}
381;46;{00101100000101011011}
387;39;{10101010010101000011}
417;39;{01110101000101001100}
359;33;{10001110000001100010}
452;33;{10101100100100100110}
573;53;{10101110100101110111}
245;35;{00000110000001010110}
504;38;{11101100000101110101}
366;41;{10101110000100000110}
525;61;{00100011011111111011}
125;10;{01000000000001000001}
765;72;{11111101011110111111}
380;47;{00101110010100010110}
525;54;{10100101101110011011}
581;61;{01011011011011111010}
585;58;{00111101101111001011}
535;69;{01010111011010011111}
221;25;{01001000010000001001}
283;18;{10101000000101000100}
595;48;{11110101010101101010}
433;33;{01111001000101101000}
378;30;{10101001000101001100}
546;52;{01110101000101111110}
